animal_type,product_type,product_count,brand_count,avg_price,avg_rating,total_rating_number,opportunity_score,opportunity_rank
Reptiles & Amphibians,Terrarium Covers,1,1,29.99,4.7,13828,9.534523115464658,1.0
Fish & Aquatic Pets,Medication & Health Supplies,1,1,15.5,4.6,2484,7.818027938530729,2.0
Fish & Aquatic Pets,Aquarium Test Kits,2,2,29.62,4.7,43941,7.559414041806463,3.0
Horses,Treats,1,1,39.95,4.3,1435,7.269616749608169,4.0
Reptiles & Amphibians,Habitat Lighting,4,2,11.99,4.4,10631,6.55602792044718,5.0
Fish & Aquatic Pets,Automatic Feeders,2,2,15.225,4.25,6507,6.208954363020313,6.0
Reptiles & Amphibians,Health Supplies,1,1,9.47,4.5,448,6.1070228877422545,7.0
Small Animals,Treats,5,3,11.982,4.66,17484,5.640191735027377,8.0
Horses,Horse Blankets & Sheets,1,1,,4.4,254,5.541263545158426,9.0
Reptiles & Amphibians,Food,4,3,10.69,4.375,8790,5.243197087617791,10.0
Fish & Aquatic Pets,Aquarium Cleaners,5,4,6.758,4.54,30680,5.165699424737062,11.0
Cats,Flea & Tick Control,8,6,40.098571428571425,4.2375,175577,4.929940491963613,12.0
Cats,Repellents & Training Aids,4,4,14.83,3.75,18364,4.909100979126884,13.0
Small Animals,"Collars, Harnesses & Leashes",4,4,17.990000000000002,3.825,16086,4.842883385695154,14.0
Small Animals,Carriers,2,2,17.735,3.6,933,4.83624016923723,15.0
Reptiles & Amphibians,Habitat Décor,4,4,23.095000000000002,4.4,13578,4.758139880349398,16.0
Fish & Aquatic Pets,Aquarium Thermometers,3,3,13.943333333333333,4.233333333333333,3440,4.7016619663875785,17.0
Birds,Health Supplies,4,4,42.949999999999996,4.5249999999999995,9063,4.556032901353921,18.0
Small Animals,Exercise Wheels,4,4,32.99,4.4,8580,4.528652867903561,19.0
Dogs,Memorials & Funerary,2,2,13.469999999999999,4.65,493,4.38585492475399,20.0
Horses,Farrier Supplies,1,1,45.99,4.0,76,4.343805421853684,21.0
Fish & Aquatic Pets,Aquarium Water Treatments,18,7,17.01058823529412,4.538888888888889,88651,4.30595038325635,22.0
Fish & Aquatic Pets,Aquarium Stands,2,2,237.825,4.300000000000001,343,4.129957322409365,23.0
Cats,"Cat Doors, Steps, Nets & Pens",11,7,71.37111111111112,4.427272727272728,40433,4.009230289261799,24.0
Small Animals,Food,11,7,22.80125,4.527272727272727,37043,3.976133973853047,25.0
Fish & Aquatic Pets,Aquarium Substrate,4,4,16.786666666666665,4.425,2838,3.975603578236486,26.0
Reptiles & Amphibians,"Terrarium Bedding, Sand & Substrate",5,5,14.382,4.44,6447,3.9227453603598192,27.0
Birds,Treats,7,7,31.986666666666665,4.571428571428571,31830,3.9188097132655306,28.0
Small Animals,Feeding & Watering Supplies,8,6,17.63375,4.2375,10678,3.786925216772641,29.0
Fish & Aquatic Pets,Aquarium Heaters & Chillers,9,8,24.95375,4.344444444444445,32506,3.6731406790880485,30.0
Small Animals,Toys,9,8,10.66625,4.4,26104,3.5955963145973757,31.0
Fish & Aquatic Pets,Aquarium Lights,10,8,67.40571428571428,4.220000000000001,14768,3.394213548736136,32.0
Dogs,"Doors, Gates & Ramps",20,12,46.638888888888886,4.29,102109,3.3295229828559543,33.0
Fish & Aquatic Pets,Aquariums & Fish Bowls,8,8,100.70428571428572,4.025,11631,3.3097954399703187,34.0
Dogs,Flea & Tick Control,18,15,28.520666666666667,4.311111111111111,230391,3.1881204697329855,35.0
Birds,Feeding & Watering Supplies,8,8,13.927142857142856,4.075,8191,3.1858389662727777,36.0
Birds,Birdcages,10,10,116.12333333333335,4.35,21297,3.1516424304261306,37.0
Cats,Apparel,13,10,12.17,4.269230769230769,20249,3.135686090261505,38.0
Horses,Boots & Wraps,2,2,71.97,4.0,79,3.098560748717967,39.0
Reptiles & Amphibians,Terrariums,5,5,203.4625,4.3,1004,3.0914725715192737,40.0
Horses,Stable Supplies,4,4,27.11,4.425,480,3.0879336350528805,41.0
Horses,Grooming & Bathing Supplies,3,3,19.343333333333334,4.566666666666666,209,3.0871539722456056,42.0
Reptiles & Amphibians,Terrarium Heat Lamps & Mats,9,9,27.61375,4.222222222222222,9317,3.0465677641255806,43.0
Fish & Aquatic Pets,Food,25,14,15.534545454545453,4.5680000000000005,61104,2.945312153332631,44.0
Cats,Carriers & Strollers,16,15,61.16692307692308,4.35625,58327,2.8334326668954812,45.0
Birds,Food,24,15,47.67733333333333,4.608333333333333,43268,2.7563226505234533,46.0
Horses,Health Supplies,15,14,44.36000000000001,4.513333333333334,16397,2.5937475433911135,47.0
Fish & Aquatic Pets,Aquarium Pumps & Filters,42,25,24.029473684210526,4.392857142857143,174324,2.4137353304178424,48.0
Birds,Toys,17,16,15.946153846153846,4.341176470588235,9309,2.284711092567778,49.0
Small Animals,Houses & Habitats,38,28,58.40676470588235,4.352631578947369,159244,2.2636668695342146,50.0
Birds,Birdcage Accessories,26,21,20.13909090909091,4.288461538461538,27789,2.2328996188758325,51.0
Fish & Aquatic Pets,Aquarium Décor,25,23,13.45,4.084,23411,2.097864351886464,52.0
Cats,Grooming,38,33,26.886666666666663,4.1947368421052635,165901,2.092265899268124,53.0
Cats,Treats,67,42,14.85897435897436,4.455223880597015,259604,1.9236869833551566,54.0
Dogs,"Crates, Houses & Pens",67,52,76.92314814814816,4.308955223880597,509513,1.8223583032383621,55.0
Cats,Health Supplies,59,47,20.25829268292683,4.154237288135593,228500,1.7998712865366069,56.0
Cats,"Collars, Harnesses & Leashes",54,47,13.123469387755101,4.359259259259259,181406,1.7662060168498652,57.0
Cats,Food,175,60,32.769072164948454,4.424571428571428,730908,1.743106416556169,58.0
Dogs,Litter & Housebreaking,122,85,22.89178947368421,4.39016393442623,1363792,1.5321559987884508,59.0
Cats,Litter & Housebreaking,114,79,36.364430379746835,4.36140350877193,620086,1.5005989342192914,60.0
Dogs,Food,244,84,43.165035460992904,4.466393442622951,764237,1.4780590043359936,61.0
Cats,Feeding & Watering Supplies,87,74,23.52173913043478,4.363218390804598,320625,1.4737911227773464,62.0
Cats,Toys,98,76,13.93820895522388,4.171428571428572,350472,1.4644798049973649,63.0
Dogs,Carriers & Travel Products,108,83,49.04554347826087,4.299074074074074,476345,1.4350469323262107,64.0
Dogs,Training & Behavior Aids,107,92,30.016808510638295,4.288785046728972,533700,1.374901408851283,65.0
Dogs,Grooming,162,121,31.955315315315314,4.367901234567902,892236,1.2455897337580661,66.0
Dogs,Feeding & Watering Supplies,169,129,24.776029411764707,4.431952662721893,648783,1.1782946920127557,67.0
Dogs,Health Supplies,180,134,30.44,4.275555555555556,811332,1.175416859038105,68.0
Cats,Beds & Furniture,198,134,43.48020134228188,4.357070707070707,720640,1.1651767803895632,69.0
Dogs,Beds & Furniture,228,152,41.24433155080214,4.331140350877193,1258619,1.139242629863611,70.0
Dogs,Toys,356,190,15.263070866141732,4.255056179775281,2089485,1.05574413747437,71.0
Dogs,Treats,458,221,26.131883116883117,4.409170305676856,1382541,0.9511212837768178,72.0
Dogs,Apparel & Accessories,433,244,18.313921052631578,4.270438799076212,996827,0.8842440440231538,73.0
Dogs,"Collars, Harnesses & Leashes",695,396,19.72154639175258,4.365323741007194,3367629,0.7552718371265653,74.0
